label,column,delta,p,delta_abs,p_abs,p_fdr,p_fdr_abs,univariate_flag,nonlinear_flag
broad,Process_Time,-0.0006760301377271016,0.8644595021327973,-0.0038602602504281824,0.3296937458375744,0.9799541633722417,0.41477600282791616,False,False
broad,Cutting_X_Index,-0.0022875441246033024,0.5635249118688153,0.006466487092685158,0.10250829334130204,0.7578438469959929,0.15376244001195308,False,False
broad,Cutting_Y_Index,0.0003400852621067152,0.9315675362506094,0.005252210946445235,0.1847722289677025,0.9966942280752407,0.26476573279988186,False,False
broad,Head_Temp,0.931890171066788,0.0,0.9237270373924904,0.0,0.0,0.0,True,True
broad,Cooling_Flow,-0.49921495964290663,0.0,0.2983884428424368,0.0,0.0,0.0,True,True
broad,Cooling_Water_Temp,-0.003559199877781083,0.3688061848983092,-0.003949917415475679,0.3185851816407931,0.5596721001469458,0.414160736133031,False,False
broad,CLN_Flow,0.13268393202028372,4.3236463948238593e-246,-0.12156113344226971,6.690024443819837e-207,8.029629018958596e-246,1.2424331109951126e-206,False,False
broad,CLN_Pressure,1.640862525631448e-05,0.9966942280752407,0.0035596137046933762,0.36875051646571944,0.9966942280752407,0.4494146919425956,False,False
broad,CLN_Time,-0.0009035314239518311,0.8195333983242504,0.00010954673572416418,0.9779325937688867,0.9799541633722417,0.9779325937688867,False,False
broad,Coating_Flow,-0.002105018460026864,0.5950547991643651,-0.00154349462888137,0.6967300266158858,0.7735712389136746,0.7150650273163038,False,False
broad,Laser_Head_Remain_Time,-0.0033702414279498383,0.39476987456165946,-0.002638841061146091,0.5052081104313861,0.5702231521446193,0.5629461801949731,False,False
broad,Vibration,0.9021842689016222,0.0,0.8589899142629569,0.0,0.0,0.0,True,True
broad,Kerf_Width_Profile,0.9824854734902426,0.0,0.9820427589186214,0.0,0.0,0.0,True,True
broad,Top_Kerf,0.978023933558313,0.0,0.9752249650083644,0.0,0.0,0.0,True,True
broad,Bottom_Kerf,0.9793637420633794,0.0,0.9767448872658384,0.0,0.0,0.0,True,True
broad,Kerf_Angle,0.8245769191803862,0.0,0.7361720731825487,0.0,0.0,0.0,True,True
