label,column,delta,p,delta_abs,p_abs,p_fdr,p_fdr_abs,univariate_flag,nonlinear_flag
primary,Kerf_Angle,-0.06513351237977638,2.3858749149970393e-31,-0.052843390274037394,3.419185323584807e-21,9.304912168488453e-31,7.844013389400439e-21,False,False
primary,Groove_Depth,0.06774286497782889,8.985203492626173e-34,-0.07515494330104233,3.5902335989813553e-41,4.38028670265526e-33,1.2729010032752078e-40,False,False
primary,Package_Size_1,0.06348969347905697,7.186924086174487e-30,-0.07244392436739211,2.233339798734502e-38,2.3357503280067082e-29,6.700019396203506e-38,False,False
primary,Package_Size_2,0.05533601649041553,4.386389501035559e-23,-0.05016356058228222,2.968633654115706e-19,1.0062893561199223e-22,6.432039583917363e-19,False,False
primary,Package_Size_3,-0.06172957885899877,2.5049563357948615e-28,-0.06044420190909483,3.1479574500872098e-27,6.512886473066639e-28,8.184689370226745e-27,False,False
primary,Package_Size_4,-0.0622245248197516,9.320700188478879e-29,-0.07664398975826048,9.488759983322579e-43,2.5964807667905447e-28,4.111795992773117e-42,False,False
primary,Coating_Thickness,0.007511268584946995,0.1792372385251776,-0.009799511745631206,0.07972681635981543,0.279610092099277,0.12437383352131207,False,False
primary,Coating_Uniformity,0.005207734565692457,0.35174648615949056,-0.002974960057053555,0.5947540929791122,0.47303837793862524,0.6980370271829635,False,False
primary,Surface_Roughness,0.6180465306202534,0.0,0.3953762714278062,0.0,0.0,0.0,True,True
primary,Cooling_Thermal_Load,-0.02570926680786334,4.283430435607528e-06,-0.011497755012601862,0.03978828371007812,8.352689349434681e-06,0.06465596102887694,False,False
primary,Laser_Cleaning_Demand,0.07398879273236236,5.88031126042039e-40,-0.08748228814355474,3.7135763809958514e-55,4.5866427831279046e-39,2.4138246476473034e-54,False,False
primary,Cleaning_Capacity,0.007143138608104227,0.2015030220234243,-0.013526592140077232,0.015575170824861272,0.30225453303513644,0.02761053009861771,False,False
primary,Cleaning_Load_Ratio,0.03592885260054457,1.322850381479572e-10,-0.03871898626942638,4.4083176476890155e-12,2.8661758265390727e-10,9.048652013677453e-12,False,False
primary,Package_Size_Asymmetry,-0.07352557692164496,1.764093430900669e-39,-0.07628127730718215,2.314586610564227e-42,1.1466607300854349e-38,9.026887781200486e-42,False,False
primary,Maintenance_Count,-0.010512457760938343,0.05986201350061983,-0.002696907470626564,0.6281957455181024,0.10611902393291697,0.6980370271829635,False,False
broad,Laser_Power,-0.11225450420189054,6.124081063994788e-159,0.10891348111845,9.729423042708879e-150,2.171265104507243e-158,3.1620624888803854e-149,False,False
broad,Power_Efficiency,-0.12070284000641274,1.9219221664257e-183,0.12163684219232951,2.923763235518346e-186,9.369370561325288e-183,1.4253345773151937e-185,False,False
broad,Laser_Centering_Position,0.1006878254380037,2.8853593544160446e-128,0.1036720341119639,7.319504109986808e-136,7.033063426389109e-128,2.1958512329960424e-135,False,False
broad,Laser_Current,-0.0014937425903335244,0.7207590297011004,0.003134498641699457,0.45321324442330313,0.8031314902383689,0.5636731013090587,False,False
broad,Laser_Voltage,-0.004714063546541469,0.259298788363175,-0.002145862251966113,0.6076063195937615,0.34871216366082153,0.6770470418330485,False,False
broad,Beam_Diameter,0.003796713705632948,0.36359661569086854,0.0030704194645996274,0.4625010062023045,0.45742800038528625,0.5636731013090587,False,False
broad,Frequency,0.000614085674199627,0.8831735851665083,0.07403592799991143,3.133347485213378e-70,0.9064149953024692,5.81907390111056e-70,False,False
broad,Feed_Speed,0.0011739248348545672,0.7787764818760857,0.009350309010980773,0.02525507277597085,0.8208725079234418,0.03788260916395628,False,False
broad,Alignment_Time,0.006158331357114966,0.1405743517611868,-0.0015508538206470135,0.7105549050512272,0.1957999899530816,0.7697678138054961,False,False
broad,Process_Time,0.0004256312664894235,0.9188747680983825,0.004230264855699328,0.3114042878553902,0.9188747680983825,0.40482557421200727,False,False
broad,Cutting_X_Index,-0.00772830145162251,0.06440859460683586,-0.0023290561218052286,0.5773016015733698,0.0966128919102538,0.6621988959223948,False,False
broad,Cutting_Y_Index,-0.00228394495323192,0.5846977572986224,0.002456276684670744,0.5566841625639347,0.6910064404438264,0.6578994648482865,False,False
broad,Head_Temp,0.11345721949266485,2.552530023419683e-162,0.1191772515416889,6.913122404199937e-179,9.954867091336764e-162,2.9956863751533055e-178,False,False
broad,Cooling_Flow,-0.06389541243478603,8.938285402438287e-53,0.031275860979485426,7.201312890973448e-14,1.6599672890242533e-52,1.2210921858607152e-13,False,False
broad,Cooling_Water_Temp,-0.0063389426334439225,0.12929828133240873,-0.0047204957996747066,0.2586493503453734,0.18676418414681262,0.3478387814989504,False,False
broad,CLN_Flow,-0.1459601602628704,2.842841604169575e-267,0.14199668106268826,4.5309799083503546e-253,3.695694085420447e-266,4.417705410641596e-252,False,False
broad,CLN_Pressure,-0.06329028581126483,8.172311170643808e-52,0.06203500705424325,7.535389653295426e-50,1.4487278893414023e-51,1.3358190749023709e-49,False,False
