column,cliffs_delta_concurrent,p_concurrent,cliffs_delta_lagged_50strip,p_lagged,signal_retention_ratio,p_concurrent_fdr,concurrent_meaningful,pattern_type
CLN_Time,-0.006362094752896508,0.5989614423727887,-0.005729621724456124,0.6358499631087279,0.9005872982082774,0.8893829712992108,False,동시점부터 무신호 (후보 아님)
Laser_Current,-0.006002758777223449,0.6197591752591673,0.0101671065911757,0.400777512025281,1.6937389904377356,0.8893829712992108,False,동시점부터 무신호 (후보 아님)
Focus,-0.005954638323508732,0.6225680799094475,-0.03503514056046109,0.003786916435826828,5.883672299985611,0.8893829712992108,False,동시점부터 무신호 (후보 아님)
Kerf_Angle,-0.005170393472871404,0.6690968822196225,-0.0012190692939700876,0.9197517652620412,0.23577882425514346,0.9228922513374104,False,동시점부터 무신호 (후보 아님)
Coating_Flow,-0.004628305146338496,0.7020323866046614,-0.024336964071920875,0.04429757123323073,5.258288574852097,0.9260691326751479,False,동시점부터 무신호 (후보 아님)
Package_Size_1,-0.004373661891361458,0.7177035778232397,0.0250885645221961,0.03813710390493683,5.736283495473033,0.9260691326751479,False,동시점부터 무신호 (후보 아님)
Package_Size_3,-0.0031044585813204684,0.7974749287140108,-0.03335743578033645,0.0058381242901260405,10.74500912366755,0.9699299135567903,False,동시점부터 무신호 (후보 아님)
Cutting_Offset,-0.0030619009574284206,0.8001921786843519,-0.023660730760321824,0.050538406257533634,7.727464437711144,0.9699299135567903,False,동시점부터 무신호 (후보 아님)
Cooling_Water_Temp,0.002450771195251056,0.8394617556303585,-0.019666100931666874,0.10410869056954955,8.024454086034044,0.9808313103193063,False,동시점부터 무신호 (후보 아님)
Beam_Diameter,0.0021610210837132993,0.858227396529393,-0.014267464102965088,0.23835966806624276,6.6021864434793915,0.9808313103193063,False,동시점부터 무신호 (후보 아님)
Cooling_Flow,0.0014031371093627953,0.9076653121423328,-0.00037608822161294686,0.9752053733523041,0.26803383582644985,0.9811320525429218,False,동시점부터 무신호 (후보 아님)
Power_Efficiency,-0.0013023080747315285,0.9142738990939808,0.04794979947948619,7.411160063025157e-05,36.81909097382435,0.9811320525429218,False,동시점부터 무신호 (후보 아님)
Cutting_X_Index,-0.0010311343901708847,0.9320754499157756,0.011968056275162064,0.32262977773844315,11.606689088488901,0.9811320525429218,False,동시점부터 무신호 (후보 아님)
Process_Time,-0.0006068182397734878,0.9599951741653483,0.008658532687681353,0.4742622676568473,14.268741643153964,0.9846104350413829,False,동시점부터 무신호 (후보 아님)
Cooling_Thermal_Load,-4.135900310120455e-06,0.9997275117924672,-0.012874220696377336,0.28734873604679434,3112.7976331717687,0.9997275117924672,False,동시점부터 무신호 (후보 아님)
