column,label,n_group,cliffs_delta_opcond,p_opcond,cliffs_delta_group,p_group,delta_shrinkage,p_fdr_opcond,flag_opcond,p_fdr_group,flag_group,stratum_verdict
Cooling_Flow,is_particle_primary,6455,-0.01675142368632654,0.02415874861111948,-0.016074075782297248,0.030508110936883773,0.04043524399554055,0.10172104678366096,False,0.13559160416392788,False,양쪽 모두 미달
Power_Efficiency,is_particle_broad,7792,-0.015867133188477323,0.01983175463133336,-0.01505752517475889,0.027059795271132416,0.05102421490394804,0.08814113169481494,False,0.12754121604895735,False,양쪽 모두 미달
Laser_Cleaning_Demand,is_particle_primary,6455,-0.015056353952845991,0.04271833598466784,-0.008549107474629003,0.24988244765286272,0.43219271402602566,0.1485855164684099,False,0.5552943281174727,False,양쪽 모두 미달
Alignment_Time,is_particle_broad,7792,0.014981920228295476,0.027838538228012882,0.015286550221158768,0.024814509424218485,-0.020333174133977616,0.11135415291205153,False,0.12754121604895735,False,양쪽 모두 미달
Maintenance_Count,is_particle_primary,6455,-0.014906511192105731,0.04458082750286154,-0.01437148741338612,0.05286804450953911,0.035891951632716856,0.14860275834287182,False,0.18897960297702301,False,양쪽 모두 미달
Kerf_Width_Profile,is_particle_broad,7792,0.014228135251574736,0.036717799179076346,0.011695851809995883,0.0859584125130459,0.1779771837141193,0.13987733020600512,False,0.26544303984539014,False,양쪽 모두 미달
Alignment_Time,is_particle_primary,6455,0.01404312839986921,0.05874696998888474,0.014296494821270711,0.054331635855894116,-0.01804202127809784,0.1807599076581069,False,0.18897960297702301,False,양쪽 모두 미달
Package_Size_4,is_particle_broad,7792,0.013961661949628335,0.04038719697529555,0.013179493628101335,0.05299845574484006,0.056022579858253985,0.14686253445562017,False,0.18897960297702301,False,양쪽 모두 미달
Maintenance_Count,is_particle_broad,7792,-0.013516333073497644,0.04695978801171404,-0.01349279882266008,0.047401761560122414,0.0017411712710535543,0.15027132163748494,False,0.18897960297702301,False,양쪽 모두 미달
Laser_Power,is_particle_primary,6455,-0.01324178594254477,0.07471193554456769,-0.00656215238990554,0.3771237544451266,0.5044360014292419,0.2213686979098302,False,0.6856795535365937,False,양쪽 모두 미달
Cooling_Water_Temp,is_particle_primary,6455,-0.012033913848444544,0.10530545190045248,-0.012745375490631372,0.0862689879497518,-0.05912138404404388,0.2904977983460758,False,0.26544303984539014,False,양쪽 모두 미달
Package_Size_4,is_particle_primary,6455,0.01181911603949759,0.11166583770393067,0.011005473823286982,0.13854239889830294,0.06884120720124465,0.29777556721048176,False,0.3575287713504592,False,양쪽 모두 미달
CLN_Pressure,is_particle_primary,6455,0.011332870650199167,0.1271830032040767,0.011394222052878211,0.1251373155019585,-0.005413580069226764,0.3247616773160251,False,0.3575287713504592,False,양쪽 모두 미달
Head_Temp,is_particle_broad,7792,0.011281280720207176,0.09767143968327421,0.009896657011235321,0.14623297230010307,0.12273639343906217,0.2790612562379263,False,0.36558243075025765,False,양쪽 모두 미달
Cutting_Y_Index,is_particle_primary,6455,-0.010853416874095023,0.1440772359497597,-0.01111745843293832,0.13457222433352511,-0.024327966197770667,0.3492781477569933,False,0.3575287713504592,False,양쪽 모두 미달
Laser_Head_Remain_Time,is_particle_broad,7792,-0.010315630421409483,0.12990467092641006,-0.011019566044058626,0.105700216689773,-0.06823970944016833,0.3247616773160251,False,0.31318582722895705,False,양쪽 모두 미달
Cutting_Y_Index,is_particle_broad,7792,-0.00979648090951235,0.1503604264578334,-0.010228160226357308,0.13319111998638147,-0.04406473312532033,0.3537892387243139,False,0.3575287713504592,False,양쪽 모두 미달
Groove_Depth,is_particle_primary,6455,-0.009717844574486878,0.19089476227053692,-0.006579011356575903,0.375899296724691,0.3229968532478522,0.4363308851897987,False,0.6856795535365937,False,양쪽 모두 미달
Cooling_Water_Temp,is_particle_broad,7792,-0.008721304275558062,0.2004014529103747,-0.009100397924111214,0.18152806696239632,-0.04346754069979908,0.4453365620230549,False,0.4400680411209608,False,양쪽 모두 미달
Feed_Speed,is_particle_broad,7792,0.00854396856664752,0.20970635363596668,0.007679920983039601,0.25952307421957255,0.1011295368034053,0.4534191429966847,False,0.5611309712855622,False,양쪽 모두 미달
Laser_Cleaning_Demand,is_particle_broad,7792,-0.008262822719173224,0.22509267059810134,-0.005251700990903219,0.44069353871605244,0.364418048239488,0.47387930652231863,False,0.6912839822996901,False,양쪽 모두 미달
Beam_Diameter,is_particle_broad,7792,0.008144262093273014,0.23181723187625125,0.008489160164983689,0.2126444900242641,-0.04234859681094427,0.4755225269256436,False,0.4894271785572378,False,양쪽 모두 미달
Package_Size_1,is_particle_primary,6455,-0.007880450715696652,0.28885347802742234,-0.007756184564117308,0.29652480250385893,0.015768914249006727,0.5447883859005542,False,0.6082560051361209,False,양쪽 모두 미달
Package_Size_1,is_particle_broad,7792,-0.00784879722204701,0.24919245579021498,-0.008461758051878765,0.21412439061879152,-0.07809614804545695,0.49838491158042997,False,0.4894271785572378,False,양쪽 모두 미달
Laser_Centering_Position,is_particle_primary,6455,0.007848367340322904,0.2908213665967271,0.007171845823756184,0.3344107927364821,0.08619901276676045,0.5447883859005542,False,0.6595247035775652,False,양쪽 모두 미달
Focus,is_particle_primary,6455,0.0074141098372442205,0.31834036732914195,0.001679126582976087,0.8212048812008654,0.7735228341855523,0.5788006678711671,False,0.8823930672439465,False,양쪽 모두 미달
Groove_Depth,is_particle_broad,7792,-0.007165175183345807,0.29282375742154787,-0.005613793582387228,0.40983568259448877,0.21651691148661567,0.5447883859005542,False,0.6912839822996901,False,양쪽 모두 미달
Cutting_Offset,is_particle_primary,6455,0.006865297477336441,0.3554817152413311,0.005883136806167366,0.42846645999597077,0.1430616334414292,0.6236390964916095,False,0.6912839822996901,False,양쪽 모두 미달
Laser_Head_Remain_Time,is_particle_primary,6455,-0.006337967879279871,0.39363996194510986,-0.007118678803521794,0.3380064105835021,-0.12318000644879068,0.6560666032418498,False,0.6595247035775652,False,양쪽 모두 미달
Process_Time,is_particle_broad,7792,0.006253157199988202,0.35859248048267545,0.006194595065134312,0.3631112366579894,0.00936521072171359,0.6236390964916095,False,0.6856795535365937,False,양쪽 모두 미달
Frequency,is_particle_broad,7792,-0.005926934542420104,0.3842150053009634,-0.005681686465222269,0.40419620913956056,0.04137857022758584,0.6539829877463207,False,0.6912839822996901,False,양쪽 모두 미달
Process_Time,is_particle_primary,6455,0.005715067150812603,0.44177579922651444,0.00581923999761691,0.433498685895237,-0.018227755519809596,0.695094435069327,False,0.6912839822996901,False,양쪽 모두 미달
Beam_Diameter,is_particle_primary,6455,0.00552472312397323,0.45713106426392724,0.005852230908721001,0.43089623252759646,-0.059280397840505206,0.6975871585867878,False,0.6912839822996901,False,양쪽 모두 미달
Kerf_Angle,is_particle_broad,7792,-0.0054977020416477895,0.4195863861552398,-0.005614394847770265,0.40978549735311276,-0.02122574218072759,0.6850389978044731,False,0.6912839822996901,False,양쪽 모두 미달
Coating_Uniformity,is_particle_primary,6455,0.005463274012155406,0.4621514925637469,0.005525279569238428,0.4570857389613372,-0.011349523554019969,0.6975871585867878,False,0.703208829171288,False,양쪽 모두 미달
