column,label,lag_window,delta_concurrent,delta_lagged,p_lagged,signal_retention_ratio,p_lagged_fdr,lagged_significant,interpretation
CLN_Time,primary,20,0.006657674651087353,0.010215347202395808,0.09626538811393899,1.534371644419032,0.12634832189954492,False,선행신호 약함 - 판단 보류
CLN_Time,primary,50,0.006657674651087353,0.02115811457189931,0.000571736456272193,3.1780036845813275,0.0009235742755166194,False,선행신호 약함 - 판단 보류
CLN_Time,broad,5,0.00420433477863047,-0.0067394731105850925,0.2603830115132232,1.6029820329342148,0.36453621611851245,False,선행신호 약함 - 판단 보류
CLN_Time,broad,20,0.00420433477863047,0.008746142407784152,0.14412856603831656,2.080267835054073,0.18916874292529048,False,선행신호 약함 - 판단 보류
CLN_Time,broad,50,0.00420433477863047,0.018253002397585316,0.0023035518900332043,4.341472161151518,0.0034553278350498064,False,선행신호 약함 - 판단 보류
CLN_Time,pure,5,0.0033078574431373298,-0.012435670535056342,0.20372100323728004,3.75943363607041,0.28817398459756977,False,선행신호 약함 - 판단 보류
CLN_Time,pure,20,0.0033078574431373298,0.0014353772852271351,0.883363976674959,0.4339296084857136,0.883363976674959,False,선행신호 약함 - 판단 보류
CLN_Time,pure,50,0.0033078574431373298,0.00107204095429414,0.9127625570937838,0.32408922473919105,0.9127625570937838,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,primary,5,-0.5839889016928301,-0.5978854812290328,0.0,1.0237959651218032,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Capacity,primary,20,-0.5839889016928301,-0.6069210199531059,0.0,1.0392680720366458,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Capacity,primary,50,-0.5839889016928301,-0.6083111741300602,0.0,1.041648518262464,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Capacity,broad,5,-0.5620250849736679,-0.563945825491547,0.0,1.0034175352119188,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Capacity,broad,20,-0.5620250849736679,-0.5728283758286641,0.0,1.0192220794833426,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Capacity,broad,50,-0.5620250849736679,-0.5746422116706955,0.0,1.022449401342324,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Capacity,pure,5,-0.5384489857046186,-0.5464154623458723,0.0,1.0147952301011929,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Capacity,pure,20,-0.5384489857046186,-0.5519336004575168,0.0,1.0250434397889192,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Capacity,pure,50,-0.5384489857046186,-0.5606912732538216,0.0,1.0413080684330691,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Load_Ratio,primary,5,0.6092705829480434,0.6316735864615242,0.0,1.0367702038149957,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Load_Ratio,primary,20,0.6092705829480434,0.6442805939058651,0.0,1.0574621718784136,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Load_Ratio,primary,50,0.6092705829480434,0.6484818441825784,0.0,1.064357712865121,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Load_Ratio,broad,5,0.563114212519372,0.5652685315527048,0.0,1.003825723069028,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Load_Ratio,broad,20,0.563114212519372,0.572118034568726,0.0,1.0159893354654839,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Load_Ratio,broad,50,0.563114212519372,0.5737493508888785,0.0,1.0188862900865614,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Load_Ratio,pure,5,0.5660386370992845,0.5866303667077215,0.0,1.0363786643858115,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Load_Ratio,pure,20,0.5660386370992845,0.5969855205285504,0.0,1.0546727403412883,0.0,True,선행신호 유지 - 상류 원인 가능성
Cleaning_Load_Ratio,pure,50,0.5660386370992845,0.607880174312337,0.0,1.0739199313804322,0.0,True,선행신호 유지 - 상류 원인 가능성
Coating_Flow,primary,5,0.0008336352727589258,-0.0016209113403951037,0.7918461108049666,1.9443891031993865,0.831438416345215,False,선행신호 약함 - 판단 보류
Coating_Flow,primary,20,0.0008336352727589258,0.0008065787552569148,0.8955183133158392,0.9675439387149884,0.8955183133158392,False,선행신호 약함 - 판단 보류
Coating_Flow,primary,50,0.0008336352727589258,-0.0058750944294087,0.33881776287501175,7.047559791903965,0.33881776287501175,False,선행신호 약함 - 판단 보류
Coating_Flow,broad,5,-0.001071500724980634,0.0009983080742950179,0.8675930993663126,0.9316914594836704,0.8675930993663126,False,선행신호 약함 - 판단 보류
Coating_Flow,broad,20,-0.001071500724980634,-0.00012013643330266444,0.9839935544680634,0.11211978723097527,0.9839935544680634,False,선행신호 소멸 - 결과 공변 해석 지지
Coating_Flow,broad,50,-0.001071500724980634,-0.00638547397426692,0.286291270104129,5.95937438528782,0.3006058336093355,False,선행신호 약함 - 판단 보류
Coating_Flow,pure,5,-0.0027561273933073283,-0.004953357401906167,0.6126662346556173,1.797216418201258,0.7568229957510567,False,선행신호 약함 - 판단 보류
Coating_Flow,pure,20,-0.0027561273933073283,-0.007842209152310153,0.42282360451141165,2.845372522095059,0.49329420526331363,False,선행신호 약함 - 판단 보류
Coating_Flow,pure,50,-0.0027561273933073283,-0.012408718984629252,0.2047689942967713,4.502229836966607,0.25294993413130573,False,선행신호 약함 - 판단 보류
Coating_Thickness,primary,5,-0.124657644780229,0.016687865580247374,0.006585840004297518,0.13386957221651366,0.012572967280931624,False,선행신호 소멸 - 결과 공변 해석 지지
Coating_Thickness,primary,20,-0.124657644780229,0.017138141411170205,0.005264528663487343,0.13748167183316104,0.007896792995231015,False,선행신호 소멸 - 결과 공변 해석 지지
Coating_Thickness,primary,50,-0.124657644780229,0.016368526654524373,0.007701044552144229,0.13130784464428177,0.010781462373001921,False,선행신호 소멸 - 결과 공변 해석 지지
Coating_Thickness,broad,5,-0.13505948481070829,0.017026027536313215,0.004464448851457015,0.1260631754976404,0.008523038716417937,False,선행신호 소멸 - 결과 공변 해석 지지
Coating_Thickness,broad,20,-0.13505948481070829,0.017337249026036172,0.003788141284057305,0.1283675045135488,0.006365029825173289,False,선행신호 소멸 - 결과 공변 해석 지지
Coating_Thickness,broad,50,-0.13505948481070829,0.017248258459015453,0.003973728510014571,0.1277086054577332,0.005563219914020399,False,선행신호 소멸 - 결과 공변 해석 지지
Coating_Thickness,pure,5,-0.14636436621916127,0.026987787476545844,0.0058092128012506745,0.18438769062228716,0.012199346882626418,False,선행신호 약함 - 판단 보류
Coating_Thickness,pure,20,-0.14636436621916127,0.02306333895652779,0.018411076529774445,0.1575748220164018,0.02974096977886641,False,선행신호 약함 - 판단 보류
Coating_Thickness,pure,50,-0.14636436621916127,0.01416015139759419,0.14787877553507578,0.09674589357624955,0.19409089288978698,False,선행신호 소멸 - 결과 공변 해석 지지
Coating_Uniformity,primary,5,-0.022598450715497487,-0.004635273939637585,0.45042432751126094,0.20511467790395133,0.59118192985853,False,선행신호 약함 - 판단 보류
Coating_Uniformity,primary,20,-0.022598450715497487,-0.022345330467809288,0.0002745436759027841,0.9887992211999465,0.000524128835814406,False,선행신호 약함 - 판단 보류
Coating_Uniformity,primary,50,-0.022598450715497487,-0.028737357562115484,2.88797823685695e-06,1.2716516686875388,5.053961914499663e-06,False,선행신호 약함 - 판단 보류
Coating_Uniformity,broad,5,-0.025193214599223857,-0.002098824050345116,0.7259621527979929,0.08330910063417536,0.8128501377855031,False,선행신호 소멸 - 결과 공변 해석 지지
Coating_Uniformity,broad,20,-0.025193214599223857,-0.01856314621826649,0.001935156851393606,0.7368311870307482,0.0036943903526605202,False,선행신호 약함 - 판단 보류
Coating_Uniformity,broad,50,-0.025193214599223857,-0.02472893242492591,3.636839461166405e-05,0.9815711420045519,6.36446905704121e-05,False,선행신호 약함 - 판단 보류
Coating_Uniformity,pure,5,-0.023820069691559365,-0.016034963385650802,0.10123470485958162,0.6731702968666287,0.1635329847731703,False,선행신호 약함 - 판단 보류
Coating_Uniformity,pure,20,-0.023820069691559365,-0.019328054413609186,0.04821467752121936,0.8114188860017516,0.07232201628182904,False,선행신호 약함 - 판단 보류
Coating_Uniformity,pure,50,-0.023820069691559365,-0.03902286698646518,6.667358391173276e-05,1.638234794933993,0.00011667877184553234,False,선행신호 약함 - 판단 보류
Cooling_Water_Temp,primary,5,-0.0008666515338788816,0.011882092639767361,0.05303654779318078,13.710346287147905,0.09281395863806637,False,선행신호 약함 - 판단 보류
Cooling_Water_Temp,primary,20,-0.0008666515338788816,0.02152710278216663,0.0004566338746811756,24.839398467129623,0.0007991092806920574,False,선행신호 약함 - 판단 보류
Cooling_Water_Temp,primary,50,-0.0008666515338788816,0.04088422931476021,2.809586023024845e-11,47.174934465037204,5.363755134865613e-11,False,선행신호 약함 - 판단 보류
Cooling_Water_Temp,broad,5,-0.002406957348790706,0.009391198187802319,0.11680595686649459,3.9016886578902645,0.17520893529974188,False,선행신호 약함 - 판단 보류
Cooling_Water_Temp,broad,20,-0.002406957348790706,0.01590732188945676,0.007895871672115425,6.608892300251542,0.011843807508173137,False,선행신호 약함 - 판단 보류
Cooling_Water_Temp,broad,50,-0.002406957348790706,0.03478745394117033,6.2823672648765075e-09,14.452875103353248,1.1993610232946059e-08,False,선행신호 약함 - 판단 보류
Cooling_Water_Temp,pure,5,0.005316856227262967,0.016653068219585787,0.0887418479646337,3.1321268636520045,0.155298233938109,False,선행신호 약함 - 판단 보류
Cooling_Water_Temp,pure,20,0.005316856227262967,0.023842651586091,0.014813900256622478,4.484351384909428,0.025924325449089337,False,선행신호 약함 - 판단 보류
Cooling_Water_Temp,pure,50,0.005316856227262967,0.042075437172583996,1.7094854704678898e-05,7.9135931787728175,3.263563170893244e-05,False,선행신호 약함 - 판단 보류
Cutting_X_Index,primary,5,-0.004632923623435814,0.010863820444992678,0.07692228613814107,2.344916801571613,0.12425907760776635,False,선행신호 약함 - 판단 보류
